source,target,status
https://thebeatboutique.ie/wedding-band-waterford,https://thebeatboutique.ie/locations/wedding-band-waterford/,301
https://thebeatboutique.ie/wedding-band-westmeath/,https://thebeatboutique.ie/locations/wedding-band-westmeath/,301
https://thebeatboutique.ie/wedding-band-westmeath,https://thebeatboutique.ie/locations/wedding-band-westmeath/,301
https://thebeatboutique.ie/wedding-band-wexford/,https://thebeatboutique.ie/locations/wedding-band-wexford/,301
https://thebeatboutique.ie/wedding-band-wexford,https://thebeatboutique.ie/locations/wedding-band-wexford/,301
https://thebeatboutique.ie/wedding-band-wicklow/,https://thebeatboutique.ie/locations/wedding-band-wicklow/,301
https://thebeatboutique.ie/wedding-band-wicklow,https://thebeatboutique.ie/locations/wedding-band-wicklow/,301
https://thebeatboutique.ie/whats-on-offer/,https://thebeatboutique.ie/pricing-guide/,301
https://thebeatboutique.ie/whats-on-offer,https://thebeatboutique.ie/pricing-guide/,301
https://thebeatboutique.ie/why-us/,https://thebeatboutique.ie/about/,301
https://thebeatboutique.ie/why-us,https://thebeatboutique.ie/about/,301
